image_size,3W-1S,1W-4S,1W-1S
32x32,0.9788,0.9692,0.9645
60x60,0.9886,0.9875,0.9921
116x116,0.9908,0.9801,0.9829
228x228,0.9892,0.9821,0.9831
452x452,0.9851,0.9865,0.9877
