wavelet_type,image_size,level,accuracy,f_measure_macro,f_measure_abnormal,model_path,test_data_path,eval_json_path
three_wavelets_1_subband,228x228,Lv2,0.9461,0.9458,0.9414,models\table2\three_wavelets_1_subband_228x228_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_228x228_lv2.npy,results\table2_eval\three_wavelets_1_subband_228x228_lv2.json
one_wavelet_4_subbands,228x228,Lv2,0.9787,0.9787,0.9779,models\table2\one_wavelet_4_subbands_228x228_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_228x228_lv2.npy,results\table2_eval\one_wavelet_4_subbands_228x228_lv2.json
one_wavelet_1_subband,228x228,Lv2,0.9729,0.9729,0.9715,models\table2\one_wavelet_1_subband_228x228_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_228x228_lv2.npy,results\table2_eval\one_wavelet_1_subband_228x228_lv2.json
three_wavelets_1_subband,228x228,Lv3,0.9764,0.9763,0.9754,models\table2\three_wavelets_1_subband_228x228_lv3_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_228x228_lv3.npy,results\table2_eval\three_wavelets_1_subband_228x228_lv3.json
one_wavelet_4_subbands,228x228,Lv3,0.9660,0.9660,0.9648,models\table2\one_wavelet_4_subbands_228x228_lv3_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_228x228_lv3.npy,results\table2_eval\one_wavelet_4_subbands_228x228_lv3.json
one_wavelet_1_subband,228x228,Lv3,0.9605,0.9605,0.9597,models\table2\one_wavelet_1_subband_228x228_lv3_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_228x228_lv3.npy,results\table2_eval\one_wavelet_1_subband_228x228_lv3.json
three_wavelets_1_subband,228x228,Lv4,0.9726,0.9726,0.9714,models\table2\three_wavelets_1_subband_228x228_lv4_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_228x228_lv4.npy,results\table2_eval\three_wavelets_1_subband_228x228_lv4.json
one_wavelet_4_subbands,228x228,Lv4,0.9291,0.9288,0.9237,models\table2\one_wavelet_4_subbands_228x228_lv4_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_228x228_lv4.npy,results\table2_eval\one_wavelet_4_subbands_228x228_lv4.json
one_wavelet_1_subband,228x228,Lv4,0.9594,0.9593,0.9579,models\table2\one_wavelet_1_subband_228x228_lv4_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_228x228_lv4.npy,results\table2_eval\one_wavelet_1_subband_228x228_lv4.json
three_wavelets_1_subband,452x452,Lv1,0.9840,0.9840,0.9834,models\table2\three_wavelets_1_subband_452x452_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_452x452_lv1.npy,results\table2_eval\three_wavelets_1_subband_452x452_lv1.json
one_wavelet_4_subbands,452x452,Lv1,0.9823,0.9823,0.9817,models\table2\one_wavelet_4_subbands_452x452_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_452x452_lv1.npy,results\table2_eval\one_wavelet_4_subbands_452x452_lv1.json
one_wavelet_1_subband,452x452,Lv1,0.9846,0.9846,0.9843,models\table2\one_wavelet_1_subband_452x452_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_452x452_lv1.npy,results\table2_eval\one_wavelet_1_subband_452x452_lv1.json
three_wavelets_1_subband,452x452,Lv2,0.9635,0.9634,0.9617,models\table2\three_wavelets_1_subband_452x452_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_452x452_lv2.npy,results\table2_eval\three_wavelets_1_subband_452x452_lv2.json
one_wavelet_4_subbands,452x452,Lv2,0.9869,0.9869,0.9865,models\table2\one_wavelet_4_subbands_452x452_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_452x452_lv2.npy,results\table2_eval\one_wavelet_4_subbands_452x452_lv2.json
one_wavelet_1_subband,452x452,Lv2,0.9538,0.9535,0.9503,models\table2\one_wavelet_1_subband_452x452_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_452x452_lv2.npy,results\table2_eval\one_wavelet_1_subband_452x452_lv2.json
three_wavelets_1_subband,452x452,Lv3,0.9857,0.9857,0.9853,models\table2\three_wavelets_1_subband_452x452_lv3_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_452x452_lv3.npy,results\table2_eval\three_wavelets_1_subband_452x452_lv3.json
one_wavelet_4_subbands,452x452,Lv3,0.9789,0.9789,0.9782,models\table2\one_wavelet_4_subbands_452x452_lv3_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_452x452_lv3.npy,results\table2_eval\one_wavelet_4_subbands_452x452_lv3.json
one_wavelet_1_subband,452x452,Lv3,0.9880,0.9880,0.9877,models\table2\one_wavelet_1_subband_452x452_lv3_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_452x452_lv3.npy,results\table2_eval\one_wavelet_1_subband_452x452_lv3.json
three_wavelets_1_subband,452x452,Lv4,0.9817,0.9817,0.9810,models\table2\three_wavelets_1_subband_452x452_lv4_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_452x452_lv4.npy,results\table2_eval\three_wavelets_1_subband_452x452_lv4.json
one_wavelet_4_subbands,452x452,Lv4,0.9772,0.9772,0.9767,models\table2\one_wavelet_4_subbands_452x452_lv4_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_452x452_lv4.npy,results\table2_eval\one_wavelet_4_subbands_452x452_lv4.json
one_wavelet_1_subband,452x452,Lv4,0.9458,0.9457,0.9440,models\table2\one_wavelet_1_subband_452x452_lv4_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_452x452_lv4.npy,results\table2_eval\one_wavelet_1_subband_452x452_lv4.json
three_wavelets_1_subband,452x452,Lv5,0.9857,0.9857,0.9851,models\table2\three_wavelets_1_subband_452x452_lv5_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_452x452_lv5.npy,results\table2_eval\three_wavelets_1_subband_452x452_lv5.json
one_wavelet_4_subbands,452x452,Lv5,0.9715,0.9714,0.9703,models\table2\one_wavelet_4_subbands_452x452_lv5_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_452x452_lv5.npy,results\table2_eval\one_wavelet_4_subbands_452x452_lv5.json
one_wavelet_1_subband,452x452,Lv5,0.9366,0.9365,0.9331,models\table2\one_wavelet_1_subband_452x452_lv5_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_452x452_lv5.npy,results\table2_eval\one_wavelet_1_subband_452x452_lv5.json
